particulas/s,N,opt,compiler
323.019,4,-O0,gcc
331.123,4,-O0,gcc
328.176,4,-O0,gcc
321.602,4,-O0,gcc
321.225,4,-O0,gcc
76.369,32,-O0,gcc
77.655,32,-O0,gcc
77.496,32,-O0,gcc
77.482,32,-O0,gcc
76.579,32,-O0,gcc
31.980,108,-O0,gcc
32.265,108,-O0,gcc
31.986,108,-O0,gcc
31.977,108,-O0,gcc
32.341,108,-O0,gcc
14.070,256,-O0,gcc
14.112,256,-O0,gcc
14.148,256,-O0,gcc
14.017,256,-O0,gcc
14.243,256,-O0,gcc
627.980,4,-O1,gcc
657.598,4,-O1,gcc
657.531,4,-O1,gcc
481.750,4,-O1,gcc
658.190,4,-O1,gcc
271.299,32,-O1,gcc
275.874,32,-O1,gcc
275.167,32,-O1,gcc
277.307,32,-O1,gcc
275.296,32,-O1,gcc
89.591,108,-O1,gcc
89.320,108,-O1,gcc
89.536,108,-O1,gcc
89.955,108,-O1,gcc
89.172,108,-O1,gcc
31.256,256,-O1,gcc
31.035,256,-O1,gcc
31.244,256,-O1,gcc
31.287,256,-O1,gcc
31.589,256,-O1,gcc
663.052,4,-O2,gcc
702.505,4,-O2,gcc
700.238,4,-O2,gcc
709.704,4,-O2,gcc
710.977,4,-O2,gcc
365.974,32,-O2,gcc
368.337,32,-O2,gcc
370.910,32,-O2,gcc
371.259,32,-O2,gcc
367.336,32,-O2,gcc
140.536,108,-O2,gcc
139.663,108,-O2,gcc
140.074,108,-O2,gcc
139.983,108,-O2,gcc
139.573,108,-O2,gcc
40.904,256,-O2,gcc
41.228,256,-O2,gcc
41.201,256,-O2,gcc
41.207,256,-O2,gcc
40.717,256,-O2,gcc
673.421,4,-O3,gcc
695.914,4,-O3,gcc
700.712,4,-O3,gcc
701.533,4,-O3,gcc
706.052,4,-O3,gcc
365.745,32,-O3,gcc
371.143,32,-O3,gcc
368.672,32,-O3,gcc
365.295,32,-O3,gcc
367.133,32,-O3,gcc
143.359,108,-O3,gcc
144.148,108,-O3,gcc
142.449,108,-O3,gcc
143.943,108,-O3,gcc
143.360,108,-O3,gcc
41.326,256,-O3,gcc
40.384,256,-O3,gcc
41.815,256,-O3,gcc
41.384,256,-O3,gcc
41.231,256,-O3,gcc
295.812,4,-O0,clang
300.505,4,-O0,clang
296.851,4,-O0,clang
295.279,4,-O0,clang
298.484,4,-O0,clang
60.551,32,-O0,clang
61.067,32,-O0,clang
59.963,32,-O0,clang
60.579,32,-O0,clang
60.419,32,-O0,clang
13.497,256,-O0,clang
13.608,256,-O0,clang
13.497,256,-O0,clang
13.507,256,-O0,clang
13.513,256,-O0,clang
680.047,4,-O1,clang
692.560,4,-O1,clang
704.853,4,-O1,clang
715.044,4,-O1,clang
719.472,4,-O1,clang
335.939,32,-O1,clang
343.420,32,-O1,clang
342.242,32,-O1,clang
344.386,32,-O1,clang
332.323,32,-O1,clang
38.433,256,-O1,clang
38.692,256,-O1,clang
38.565,256,-O1,clang
38.631,256,-O1,clang
39.050,256,-O1,clang
690.177,4,-O2,clang
722.949,4,-O2,clang
716.907,4,-O2,clang
736.737,4,-O2,clang
737.703,4,-O2,clang
363.600,32,-O2,clang
366.728,32,-O2,clang
367.034,32,-O2,clang
366.536,32,-O2,clang
367.457,32,-O2,clang
38.832,256,-O2,clang
38.736,256,-O2,clang
39.054,256,-O2,clang
38.753,256,-O2,clang
38.451,256,-O2,clang
700.277,4,-O3,clang
716.573,4,-O3,clang
732.024,4,-O3,clang
728.218,4,-O3,clang
732.394,4,-O3,clang
375.285,32,-O3,clang
375.351,32,-O3,clang
374.261,32,-O3,clang
369.490,32,-O3,clang
367.335,32,-O3,clang
40.427,256,-O3,clang
40.266,256,-O3,clang
40.299,256,-O3,clang
40.498,256,-O3,clang
41.012,256,-O3,clang
